t,y1
0,0
0.01,1
0.02,1
0.03,1
0.04,1
0.05,1
0.06,1
0.07,1
0.08,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.17,1
0.18,1
0.19,1
0.2,1
0.21,1
0.22,1
0.23,1
0.24,1
0.25,1
0.26,1
0.27,1
0.28,1
0.29,1
0.3,1
0.31,1
0.32,1
0.33,1
0.34,1
0.35,1
0.36,1
0.37,1
0.38,1
0.39,1
0.4,1
0.41,1
0.42,1
0.43,1
0.44,1
0.45,1
0.46,1
0.47,1
0.48,1
0.49,1
0.5,1
0.51,1
0.52,1
0.53,1
0.54,1
0.55,1
0.56,1
0.57,1
0.58,1
0.59,1
0.6,1
0.61,1
0.62,1
0.63,1
0.64,1
0.65,1
0.66,1
0.67,1
0.68,1
0.69,1
0.7,1
0.71,1
0.72,1
0.73,1
0.74,1
0.75,1
0.76,1
0.77,1
0.78,1
0.79,1
0.8,1
0.81,1
0.82,1
0.83,1
0.84,1
0.85,1
0.86,1
0.87,1
0.88,1
0.89,1
0.9,1
0.91,1
0.92,1
0.93,1
0.94,1
0.95,1
0.96,1
0.97,1
0.98,1
0.99,1
1,1
1.01,1
1.02,1
1.03,1
1.04,1
1.05,1
1.06,1
1.07,1
1.08,1
1.09,1
1.1,1
1.11,1
1.12,1
1.13,1
1.14,1
1.15,1
1.16,1
1.17,1
1.18,1
1.19,1
1.2,1
1.21,1
1.22,1
1.23,1
1.24,1
1.25,1
1.26,1
1.27,1
1.28,1
1.29,1
1.3,1
1.31,1
1.32,1
1.33,1
1.34,1
1.35,1
1.36,1
1.37,1
1.38,1
1.39,1
1.4,1
1.41,1
1.42,1
1.43,1
1.44,1
1.45,1
1.46,1
1.47,1
1.48,1
1.49,1
1.5,1
1.51,1
1.52,1
1.53,1
1.54,1
1.55,1
1.56,1
1.57,1
1.58,1
1.59,1
1.6,1
1.61,1
1.62,1
1.63,1
1.64,1
1.65,1
1.66,1
1.67,1
1.68,1
1.69,1
1.7,1
1.71,1
1.72,1
1.73,1
1.74,1
1.75,1
1.76,1
1.77,1
1.78,1
1.79,1
1.8,1
1.81,1
1.82,1
1.83,1
1.84,1
1.85,1
1.86,1
1.87,1
1.88,1
1.89,1
1.9,1
1.91,1
1.92,1
1.93,1
1.94,1
1.95,1
1.96,1
1.97,1
1.98,1
1.99,1
2,1
2.01,1
2.02,1
2.03,1
2.04,1
2.05,1
2.06,1
2.07,1
2.08,1
2.09,1
2.1,1
2.11,1
2.12,1
2.13,1
2.14,0.854345987710956
2.15,0.728311794206638
2.16,0.621029770006523
2.17,0.529394384885504
2.18,0.451267466244712
2.19,0.384779164420177
2.2,0.328012716090362
2.21,0.279641173501019
2.22,0.238434683519895
2.23,0.203254752103768
2.24,0.173291277141144
2.25,0.147744671538397
2.26,0.125942335517536
2.27,0.107381713027373
2.28,0.0915474408495046
2.29,0.078037660642011
2.3,0.0665403400740717
2.31,0.0567261165606123
2.32,0.0483547340643672
2.33,0.0412319410478095
2.34,0.0351431748643928
2.35,0.0299561743848054
2.36,0.025530792030677
2.37,0.0217588767438081
2.38,0.018542522034172
2.39,0.0158029169563747
2.4,0.0134689466976751
2.41,0.0114792774409428
2.42,0.00978412142916809
2.43,0.00833895282865276
2.44,0.00710602547658496
2.45,0.0060554096879731
2.46,0.00515910292326311
2.47,0.00439607412510501
2.48,0.00374543753368215
2.49,0.00319183455030381
2.5,0.00271982613722887
2.51,0.00231808921314803
2.52,0.00197539713029362
2.53,0.00168362241498656
2.54,0.00143458073011023
2.55,0.00122260800025649
2.56,0.00104096354286718
2.57,0.000886209091784919
2.58,0.000754731939621397
2.59,0.000641973656875172
2.6,0.000546527172875472
2.61,0.000465266023786884
2.62,0.000395927257717265
2.63,0.000337452530270592
2.64,0.000287342162372932
2.65,0.000244800211628803
2.66,0.000208687044983276
2.67,0.000177764966619702
2.68,0.000151496183228801
2.69,0.000129026809723208
2.7,0.000109833784760942
2.71,9.35139716160986e-05
2.72,7.91115811757933e-05
2.73,6.67313303154016e-05
2.74,5.62765113141674e-05
2.75,4.77843958056931e-05
2.76,3.99553283558407e-05
2.77,3.32486986370517e-05
2.78,2.77118675619299e-05
2.79,2.34287832109196e-05
2.8,1.96754816212294e-05
2.81,1.63796022241649e-05
2.82,1.37044654813697e-05
2.83,1.16458134067974e-05
2.84,9.98799200940256e-06
2.85,8.50542632836061e-06
2.86,7.28273667286336e-06
2.87,6.27795489739994e-06
2.88,5.44269101406806e-06
2.89,4.70258919739166e-06
2.9,4.05703441485565e-06
2.91,3.48964231850083e-06
2.92,2.99032504580435e-06
2.93,2.52458215210335e-06
2.94,2.10921055718782e-06
2.95,1.75337407005704e-06
2.96,1.47400324608608e-06
2.97,1.20679906458153e-06
2.98,9.76204372523782e-07
2.99,7.96213029783303e-07
3,6.76962763523135e-07
